# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    4.535081081    2.957520454    2.957515512    2.414128932
    4.545090090    2.953033876    2.953028946    2.411280923
    4.555099099    2.948561811    2.948556894    2.408439936
    4.565108108    2.944104196    2.944099291    2.405605954
    4.575117117    2.939660966    2.939656073    2.402778960
    4.585126126    2.935232058    2.935227177    2.399958938
    4.595135135    2.930817407    2.930812538    2.397145871
    4.605144144    2.926416952    2.926412095    2.394339743
    4.615153153    2.922030629    2.922025784    2.391540536
    4.625162162    2.917658377    2.917653544    2.388748235
    4.635171171    2.913300133    2.913295312    2.385962822
    4.645180180    2.908955836    2.908951027    2.383184281
    4.655189189    2.904625426    2.904620629    2.380412595
    4.665198198    2.900308842    2.900304056    2.377647749
    4.675207207    2.896006023    2.896001249    2.374889724
    4.685216216    2.891716909    2.891712147    2.372138505
    4.695225225    2.887441442    2.887436691    2.369394075
    4.705234234    2.883179561    2.883174822    2.366656417
    4.715243243    2.878931208    2.878926480    2.363925515
    4.725252252    2.874696325    2.874691609    2.361201353
    4.735261261    2.870474853    2.870470148    2.358483913
    4.745270270    2.866266736    2.866262042    2.355773180
    4.755279279    2.862071914    2.862067232    2.353069137
    4.765288288    2.857890332    2.857885661    2.350371767
    4.775297297    2.853721932    2.853717272    2.347681054
    4.785306306    2.849566659    2.849562010    2.344996982
    4.795315315    2.845424456    2.845419818    2.342319534
    4.805324324    2.841295267    2.841290641    2.339648693
    4.815333333    2.837179038    2.837174423    2.336984444
    4.825342342    2.833075713    2.833071108    2.334326770
    4.835351351    2.828985237    2.828980644    2.331675654
    4.845360360    2.824907556    2.824902974    2.329031080
    4.855369369    2.820842617    2.820838045    2.326393032
    4.865378378    2.816790364    2.816785803    2.323761494
    4.875387387    2.812750746    2.812746195    2.321136449
    4.885396396    2.808723708    2.808719168    2.318517881
    4.895405405    2.804709198    2.804704669    2.315905774
    4.905414414    2.800707163    2.800702645    2.313300111
    4.915423423    2.796717551    2.796713044    2.310700877
    4.925432432    2.792740311    2.792735814    2.308108055
    4.935441441    2.788775391    2.788770904    2.305521629
    4.945450450    2.784822739    2.784818262    2.302941582
    4.955459459    2.780882304    2.780877838    2.300367899
    4.965468468    2.776954036    2.776949580    2.297800564
    4.975477477    2.773037884    2.773033439    2.295239560
    4.985486486    2.769133798    2.769129363    2.292684872
    4.995495495    2.765241729    2.765237304    2.290136483
    5.005504505    2.761361626    2.761357212    2.287594377
    5.015513514    2.757493441    2.757489037    2.285058539
    5.025522523    2.753637125    2.753632730    2.282528952
    5.035531532    2.749792628    2.749788243    2.280005601
    5.045540541    2.745959902    2.745955528    2.277488469
    5.055549550    2.742138899    2.742134535    2.274977540
    5.065558559    2.738329572    2.738325218    2.272472799
    5.075567568    2.734531872    2.734527528    2.269974231
    5.085576577    2.730745752    2.730741418    2.267481818
    5.095585586    2.726971166    2.726966841    2.264995545
    5.105594595    2.723208065    2.723203751    2.262515397
    5.115603604    2.719456405    2.719452100    2.260041357
    5.125612613    2.715716137    2.715711842    2.257573411
    5.135621622    2.711987217    2.711982932    2.255111541
    5.145630631    2.708269598    2.708265323    2.252655734
    5.155639640    2.704563236    2.704558970    2.250205972
    5.165648649    2.700868083    2.700863827    2.247762240
    5.175657658    2.697184097    2.697179850    2.245324523
    5.185666667    2.693511231    2.693506993    2.242892805
    5.195675676    2.689849441    2.689845213    2.240467071
    5.205684685    2.686198682    2.686194464    2.238047305
    5.215693694    2.682558912    2.682554703    2.235633491
    5.225702703    2.678930085    2.678925886    2.233225614
    5.235711712    2.675312159    2.675307969    2.230823659
    5.245720721    2.671705089    2.671700909    2.228427610
    5.255729730    2.668108834    2.668104662    2.226037452
    5.265738739    2.664523349    2.664519186    2.223653169
    5.275747748    2.660948592    2.660944439    2.221274747
    5.285756757    2.657384520    2.657380377    2.218902169
    5.295765766    2.653831093    2.653826958    2.216535421
    5.305774775    2.650288266    2.650284141    2.214174487
    5.315783784    2.646756000    2.646751883    2.211819352
    5.325792793    2.643234251    2.643230144    2.209470002
    5.335801802    2.639722979    2.639718881    2.207126419
    5.345810811    2.636222143    2.636218054    2.204788591
    5.355819820    2.632731702    2.632727622    2.202456501
    5.365828829    2.629251615    2.629247543    2.200130134
    5.375837838    2.625781841    2.625777779    2.197809476
    5.385846847    2.622322341    2.622318287    2.195494511
    5.395855856    2.618873074    2.618869029    2.193185225
    5.405864865    2.615434001    2.615429965    2.190881602
    5.415873874    2.612005082    2.612001054    2.188583627
    5.425882883    2.608586277    2.608582258    2.186291286
    5.435891892    2.605177547    2.605173537    2.184004564
    5.445900901    2.601778853    2.601774852    2.181723446
    5.455909910    2.598390157    2.598386165    2.179447917
    5.465918919    2.595011420    2.595007436    2.177177962
    5.475927928    2.591642603    2.591638628    2.174913567
