# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:     6.032070257    6.031850694    4.894473291
    2.343108108    0.248100883    0.248129919    3.229181763
    2.353117117    0.480524174    0.480552227    3.256326703
    2.363126126    0.698152534    0.698183159    3.273874009
    2.373135135    0.912335296    0.912369740    3.291719788
    2.383144144    1.131679851    1.131715993    3.317769818
    2.393153153    1.360422884    1.360457286    3.355650299
    2.403162162    1.598298033    1.598329032    3.402792233
    2.413171171    1.840597377    1.840625736    3.449274843
    2.423180180    2.079076453    2.079103494    3.479688506
    2.433189189    2.303062465    2.303087307    3.477805526
    2.443198198    2.499981587    2.499998775    3.432952222
    2.453207207    2.654990601    2.654990143    3.344484552
    2.463216216    2.751565523    2.751536740    3.220664754
    2.473225225    2.778641179    2.778578918    3.075954727
    2.483234234    2.742797919    2.742706026    2.931157569
    2.493243243    2.666918361    2.666803437    2.810278846
    2.503252252    2.567555941    2.567417319    2.728579778
    2.513261261    2.443494452    2.443328946    2.684415910
    2.523270270    2.300146453    2.299966168    2.667848658
    2.533279279    2.176077244    2.175913573    2.674890348
    2.543288288    2.126282281    2.126164150    2.709552421
    2.553297297    2.178794467    2.178726955    2.774724631
    2.563306306    2.317342774    2.317307311    2.866532217
    2.573315315    2.495988466    2.495952302    2.976549180
    2.583324324    2.656338953    2.656259362    3.095331955
    2.593333333    2.735083620    2.734909554    3.213297157
    2.603342342    2.669630420    2.669314349    3.319477967
    2.613351351    2.413564841    2.413090167    3.399781753
    2.623360360    1.962658318    1.962060800    3.436443997
    2.633369369    1.366853870    1.366206994    3.410781174
    2.643378378    0.710117304    0.709498348    3.311196721
    2.653387387    0.086061496    0.085535009    3.145126466
    2.663396396   -0.418806696   -0.419202013    2.945299092
    2.673405405   -0.755696736   -0.755964820    2.755454435
    2.683414414   -0.937052310   -0.937229657    2.600612799
    2.693423423   -1.023184106   -1.023310410    2.473777338
    2.703432432   -1.085522652   -1.085624374    2.350947785
    2.713441441   -1.168390868   -1.168481094    2.216321158
    2.723450450   -1.264255592   -1.264338482    2.079804885
    2.733459459   -1.325691819   -1.325767684    1.970606735
    2.743468468   -1.311615374   -1.311685397    1.908951076
    2.753477477   -1.218028986   -1.218096468    1.888130263
    2.763486486   -1.069053050   -1.069121690    1.882503115
    2.773495495   -0.893817598   -0.893890026    1.866663364
    2.783504505   -0.711439967   -0.711517611    1.831812172
    2.793513514   -0.528033273   -0.528116681    1.789732586
    2.803522523   -0.343558180   -0.343647083    1.758404695
    2.813531532   -0.160105496   -0.160199015    1.744238222
    2.823540541    0.017120493    0.017022950    1.741686689
    2.833549550    0.183929887    0.183827830    1.745613210
    2.843558559    0.338991466    0.338884389    1.758820258
    2.853567568    0.481850630    0.481741452    1.788734062
    2.863576577    0.609635641    0.609534877    1.839975181
    2.873585586    0.712181459    0.712109523    1.910728841
    2.883594595    0.767895065    0.767879985    1.994577959
    2.893603604    0.748448714    0.748515565    2.083981271
    2.903612613    0.636479800    0.636631656    2.172322242
    2.913621622    0.446324105    0.446531407    2.254652674
    2.923630631    0.223248872    0.223471381    2.327932342
    2.933639640    0.013380108    0.013606571    2.390400791
    2.943648649   -0.165897215   -0.165637017    2.439845384
    2.953657658   -0.328098782   -0.327765060    2.473076824
    2.963666667   -0.492323750   -0.491920221    2.489756100
    2.973675676   -0.651859306   -0.651459666    2.498127945
    2.983684685   -0.771587541   -0.771289537    2.513806504
    2.993693694   -0.819607823   -0.819461306    2.549781783
    3.003702703   -0.791687483   -0.791680016    2.609261277
    3.013711712   -0.705343718   -0.705434108    2.687728863
    3.023720721   -0.583097223   -0.583245196    2.778057867
    3.033729730   -0.442875435   -0.443052022    2.873161813
    3.043738739   -0.296050934   -0.296238130    2.966102269
    3.053747748   -0.148673329   -0.148861058    3.049464184
    3.063756757   -0.003460530   -0.003643851    3.115941416
    3.073765766    0.138556198    0.138379099    3.161944263
    3.083774775    0.277353053    0.277182081    3.193281961
    3.093783784    0.413639118    0.413473113    3.225748691
    3.103792793    0.548056716    0.547894209    3.275110528
    3.113801802    0.680155703    0.679995322    3.345706793
    3.123810811    0.807839037    0.807679478    3.428859690
    3.133819820    0.927083035    0.926922989    3.507892431
    3.143828829    1.031595044    1.031433473    3.563108318
